,text,root
47,I didn’t have an abortion. We were both in some way to blame. But I wanted that baby. A part of me died after my miscarriage. I’ll never get it back.,NARAL
48,"If your pastor doesn’t know how to point to Scripture and explain why #abortion is wrong, find a different church.",March_for_life
49,Sadly now so many women are flying to Mexico to abort babies. It is cheaper than going to other abortion friendly states.. oh Mexico get ready for judgement!,March_for_life
50,"Dear every Republican and SCOTUS Justice who supported the overturning of Roe V. Wade,

I hope your daughters and granddaughters never forgive you. May you live the balance of your lives in shame, you phony religious zealot fucks.",NARAL
51,"While President Biden has given us record inflation and gas prices, President Trump has given us conservative justices who today overturned Roe v. Wade. Elections matter!

#RoeVsWade 
#lifewins",March_for_life
52,TV States w/ Zombie abortion bans left on the books to enact,NARAL
53,You know whats crazy??  Joe Biden was in the Senate when Roe v. Wade was originally adjudicated. He been there TOO long. #ImpeachBiden #IMPEACHBIDENNOW,March_for_life
54,"Thank you so much to everyone who joined us for tonight's @Threeflings and an especial thank you to everyone who donated to your local abortion charity during the stream (or just in general). We were super chaotic tonight, but it felt really great to be there with you tonight.",NARAL
55,#RoeVWade #RoeVWade #RoeVWade @SenSusanCollins WAKE UP MAINE! She did this to you.,NARAL
56,Abortion was never a Constitutional right....,March_for_life
57,And it’s done. SCOTUS has overturned Roe V Wade this morning.,NARAL
58,"When they say “abortion should be between a woman &amp; her dr,” what they don’t tell you is the vast majority of abortions occur at Planned Parenthood, and you don’t even meet your PP dr until the day of your abortion. 

It’s a sick, deceptive practice hidden behind a slogan",March_for_life
59,"Abortion tourism will be a thing.

How sick are we as a country that states are going to be advertising themselves as a destination spot for abortions. I thought abortions were supposed to be “safe, rare, &amp; legal”. They seem obsessed &amp; in love w/ abortions.",March_for_life
60,CANNOT BLOODY WAIT for the anti-abortion moment to out-populate the pro-abortion movement. 🥳,March_for_life
61,The left is going to be shocked at how little of a deal voters consider roe v wade being overturned is.,March_for_life
62,"Live Updates: Supreme Court Overturns Roe v. Wade…/
So many prayers have been answered. It’s like a miracle.🙏❤️🙏",March_for_life
63,"BREAKING NEWS:
THE SUPREME COURT HAS OVERTURNED ROE V. WADE!",March_for_life
64,Let's take a poll.  How many single mothers ACTUALLY received child support???  How many single mothers had ALL of the financial and personal responsibility for raising their children?  Fuck men who are brushing off this Roe v. Wade bullshit! They're NEVER held accountable!,NARAL
65,Abortion is officially illegal in South Dakota due to a trigger law that goes into effect the day #RoeVWade is overturned!!! THAT DAY IS TODAY!!! @AbbyJohnson @secularprolife @LifeNewsHQ @StudentsforLife @SFLAction,March_for_life
66,"In high school I had a partner that stepped out of our relationship and got pregnant as a result. I sat on the phone for nine hours after she got an abortion to help her recover and process. I’d do that all over again. Abortions can change lives, but safe abortions save lives too",NARAL
67,"Abortion pills are freedom.

#roeoverturned",NARAL
68,"#RoeVsWade has been overturned. Glory be to God. Enough of the gruesome killings of the preborn in the evil name of abortion cum healthcare.
#WhyWeMarch
#MarchForLife",March_for_life
69,Get a life bro 😂😂 not that deep. Ya got someone who said abortion isnt healthcare and has issues with LGBTQ and Trans tags. Own up to that,NARAL
70,Did everyone notice the Supreme Court took 2 separate votes- one on the Mississippi law 6 to 3 and the other Roe vs Wade 5 to 4? They should have only addressed the Mississippi law.,NARAL
71,"Leftist:  Five SCOTUS justices should not be making a unilateral decision on an issue as important as abortion!

Me:  I agree, thank you for agreeing that RvW was justly overturned.",March_for_life
72,Roe v Wade has officially been over turned,March_for_life
73,Notice that the pro baby murder protest took place mainly where abortion will remain legalized?,March_for_life
74,"Fuck Obama for failing to deliver on his promise to codify abortion rights.
Fuck RBG for refusing to resign during Obama’s term when she knew she was nearing the end of her life.
Fuck the Democratic Party for doing literally nothing but ask for donations

1/2",NARAL
75,Someone with 100% integrity needs to set up a massive standby gofund me page to raise funds for any woman in the entire United States of America needing to travel out of country for an abortion. Canada will welcome them wholeheartedly. Anyone?  @PPact @PPFA @PPIAction,NARAL
76,"I want @SteveCarell to do a vasectomy public service announcement. Like p in v sex? Don’t want kids? Snip snap! #RoeVsWade #RoeVWade #roevwadeoverturned
#snipsnap",NARAL
77,"here's a running list of the cis male athletes, former athletes, and men's sporting orgs who have spoken up for abortion rights. bonus points for those who say the word ""abortion."" -1,000 points for saying nothing at all:",NARAL
78,Abortion is not “reproductive healthcare”. It is child murder.,March_for_life
79,"Why am I not surprised that you cite your religion as a reason to ban abortion, when your religion is founded on rape story, wrapped up in the myth of Immaculate Conception?  

.

#keepyourlawsoffmybody #scotusisajoke",NARAL
80,Does anyone know which states have made abortion illegal so far?,March_for_life
81,"That’s it. No more abortion rights. It’s gone. Still, abortion is healthcare no matter what.",NARAL
82,"#AmyConeyBarrett 
I'm so proud of Justice Barrett.
And proud that Donald Trump had a more than huge hand in overturning #RoeVWade 
#EndAbortion completely!
#marriage is next!",March_for_life
83,Why do Pelosi and Biden not follow the Catholic churches stance on abortion?  They want to identify so strongly as Catholic much of the time - so its just for show?,March_for_life
84,"Sobering Numbers: It took 18,050 days to overturn Roe v. Wade. During that time, approximately 64,000,000 unborn children were aborted. That is 3,545 per day over the last 49 years, 5 months, and 2 days. #Dobbs 
#RoeVsWade #RoeOverturned #RoeVsWadeOverturned",March_for_life
85,Why are men acting like they don't/haven't benefited from abortion rights for women? 🤔 #RoeVsWade,NARAL
86,It's sad that in America guns and corporations have more rights than women. It's sad that the Supreme Court is legislating morality based off of a radical right's agenda for control and power. This fight won't stop with abortion. #FightForYourRight,NARAL
87,Those who Approve of Abortion Have Lost His Holiness God and His Universal Love for the Life He Gives!!!🌎🌸💜✝️💜💗,March_for_life
88,"Let's go, PA, let's hop on the state abortion ban(dwagon)",March_for_life
89,"Jesus loves the little children... I believe Jesus is smiling today.

Jesus said, “Let the children come to me.... For the Kingdom of Heaven belongs to those who are like these children.” And he placed his hands on their heads and blessed them 
Mat 19:14-15

#RoeVWade",March_for_life
90,"Hearing trump’s name name fall out of the mouth of the pretty divine #JoBrand on @taskmaster series 9 is pretty depressing. Not as much as the gun violence, the failed coup, and the corrupt SCOTUS overruling a state’s rights to restrict guns, and overturning abortion rights.",NARAL
91,"If you are for abortion, let me ask you this why are here? Everyone is here for a reason and I am thanking  Jesus today for right won today!!",March_for_life
92,"Abortion is not a constitutional right, but the right to life is. These children who are being murdered through abortion are being denied their basic human right of life. It’s not a woman’s choice over her own body when it involves killing a child inside of her. #prolife",March_for_life
93,"Joe Biden says, “Rowe is on the ballot.” I guess that means avoid electing Republicans and Democrats because Republicans will nominate anti-choice SCOTUS justices and Democrats will vote for them. Voting Democrat obviously isn’t the solution. #RoeVsWade #abortion #prochoice #usa",NARAL
94,"There are a number of companies that make the abortion pill, But only two are allowed to sell in the US. Why only two?",NARAL
95,"Wonderful news about the overturning of #RoeVsWade, we need to ramp up our efforts in Australia against the extreme late term abortion laws. May many children's lives be saved 🙏🏻

#AbortionIsHealthcare
#AbortionIsNotHealthcare",March_for_life
96,Nearly 40% of all abortions in America since Roe vs. Wade have been by Black Americans. Why do black leaders want their future children killed?,March_for_life
97,"They're not stopping here. They are coming after contraceptives, gay rights, Trans rights, and a nationwide BAN.  This isn't going to be a matter of you can get an abortion in another state. You can get married in another state, etc. All just to stay in power lol",NARAL
98,"What if the protestors mom would have had an abortion?
🤔",March_for_life
99,Guys who support abortion is a turn off. Just weird.,March_for_life
100,"In the good old days, Christians disagreed on some political points and appropriate strategies, but we all agreed that abortion was wrong and prayed for the overturning of Roe v Wade.

Those were the good old days.",March_for_life
101,"Riddle me this...

Which is more cruel &amp; inhumane

Bull fighting or abortion?",March_for_life
102,"78% of Americans support the fundamental human right to abortion care. WE are the majority, and we are in this fight together. 💚 🤝 
#BansOffOurBodies #LiberateAbortion #WeWontStop",NARAL
103,"🧵Even when you know something awful is coming, it's still a major blow when it actually happens. And today we are all grappling with the reality that a small minority has taken away the right to an #abortion, a right that the vast majority of Americans support, for everyone. 1/6",NARAL
104,Roe V Wade ending isn't going to change elections. The people who care about that already had their minds made up years ago.,NARAL
105,It’s every bride’s dream to take 4 Covid tests within 24 hours of her wedding and deliver an energizing speech about the fall of Roe v. Wade at her reception. I get to live that dream today.,NARAL
106,People can scream in the street all they want but Roe v Wade is done!,March_for_life
107,"I am glad about Roe vs. Wade being overturned on federal level.
Now it's up to the states. And since a lot of republican voters left Oregon because they didn't agree with ""politics"" here, I feel it's fair enough that democrats need to leave states where they don't agree.
🤷‍♀️",March_for_life
108,Companies offering to cover their employees travel expenses to go get an abortion should just give all their employees in anti-choice states giant raises instead.,NARAL
109,Why is the homosexual community upset over #roevwade?🤔,March_for_life
110,"Trudeau has invited American women who want an abortion to come to Canada.

By the time she sees a doctor the child will be 16.",March_for_life
111,"If your first response is “don’t have sex”
Nothing else you say will ever be taken seriously.
Even nuns get pregnant.
Even priests have kids, they abandon.
And both are known to seek abortion services.
Don’t pretend that celibacy or abstinence is the answer for anyfuckinthing.",NARAL
112,A complete ban on abortion is ridiculous. A woman’s life should precede over the foetus.,March_for_life
113,"Now we will finally see what it was like back when there were Free States and Slave States, only now we have Life States and Abortion States. Once again it's the Democrats in control of the states that are anti Life and anti Freedom.",March_for_life
114,"The amount of times I've been referred to as a ""Breeder"" ""Breeding Stock"" or a ""Cow"" over the last few days is extraordinary. Mainly by pro-abortion men. It's only made me  more anti-abortion to see people who support ""choice"" dehumanizing people who oppose the ""choice"" to kill.",March_for_life
115,"so many fucking women don’t have the luxury of traveling to a legal state to get an abortion. women are going to die because of this ruling. abortions will still happen, but they won’t be safe. I AM SO ANGRY",NARAL
116,"US States that can MUST codify abortion into law for in &amp; out-of-state residents to protect those seeking abortion care from within the state, + those from neighbouring states with inhumane laws. 
Fight for those who need it most by providing safe abortion states.
#abortionrights",NARAL
117,#SCOTUS has not been this out of touch with the the greater population of America since 1857. #dredscottdecision #gunrights #roevwade  What’s next?,NARAL
118,"OK law says no abortion from moment of conception.

How are they going to know the moment of conception?",NARAL
119,"The day after Trump’s criminal intent for his coup is proven to the world, the Supreme Court announces its decision to overturn the right to an abortion.",NARAL
120,Gremlins is actually a modern day abortion morality tail. Gizmo gets an unwanted “pregnancy “ and gives birth to a new batch of gremlins. The rest of the movie is about literally killing every single one of them. #RoeVsWade #gremlins @joe_dante 🤷🏻‍♀️🎃🍿,NARAL
121,"In states with total abortion bans with no exceptions, if a 12 year old girl is raped by her father, she will be forced to give birth to her own sister....just let that sink in.",NARAL
122,"Please stop giving worst case scenario abortion access reasons like incest and rape. 

A woman should have a choice simply because she’s not feeling a pregnancy today. 

Period.",NARAL
123,"PRAISE GOD.

Moments ago, the Supreme Court overturned Roe v. Wade and Planned Parenthood v. Casey. After nearly 50 years, and over 63 million children destroyed, the Court has returned the question of abortion law back to the states.",March_for_life
124,"Keep in mind that not only is abortion criminalized, if you have a miscarriage in some States, you can be imprisoned unless you can prove that it was not intentional.",NARAL
125,"Truth is, it doesn't matter what I think. Roe v Wade was struck down. I didn't decide that. That's just how it is. 💯 So don't bring your bullshit to my Twitter page just bc I'm not cheerleading the murder of innocent babies lives. I didn't create this mess; SCOTUS did. So…",March_for_life
126,If Alito &amp; majority think abortion rights post Roe have been bad for the nation they are in for a rude awakening. The fight has just begun. #NoGoingBack,NARAL
127,"If you oppose abortion and/or contraception for minors you support teen pregnancy

Good night",NARAL
128,people need to stop spreading misinformation about Margaret Sanger. She was actually anti-abortion and Planned Parenthood originally had NOTHING to do with abortion (it was originally called the American Birth Control League).,March_for_life
129,"The Left loves screaming about “Democracy! Democracy!” So when the Supreme Court returns the abortion issue to the states to be decided democratically by the people they scream “Not that kind of Democracy! To hell with the Supreme Court!”

Constitutional illiterates. All of them.",March_for_life
130,The @NYSenate just passed the Equal Rights Amendment. This is a monumental step forward in expanding protections under our State Constitution including enshrining a person’s right to an abortion &amp; autonomy over their own healthcare decisions. Incredibly proud to vote AYE.,NARAL
131,"1 in 3 American females have had a legal abortion since 1973.

Many went on to have families.  Now grandmothers.

Will the felony penalty for having an abortion be retro?

Is America ready for 1 in 3 females to be sent to prison?",NARAL
132,The left doesn't seem to just be fighting for abortion as a right. They act as if they really like it. Can someone prove me wrong?,March_for_life
133,"The fact is we had Roe v. Wade to begin with *because* of public opinion and voting! In our democracy! We have public opinion on our side.

Don’t let commie tankies try to recruit you into giving up your democracy. They won’t say it but they want you to go MAGA and create mayhem.",NARAL
134,"Now that Roe v. Wade has been overturned, you’ll see the far left at their best. They will be out burning killing, doing whatever they want to do. And there will be no repercussions because the Democrats are behind them. The Democrats do not want to follow the law!",March_for_life
135,"One year ago today, Governor Sununu signed into law the first abortion ban in New Hampshire's modern history. 

The people we elect to Concord will determine abortion rights in NH. Abortion is safe and legal until 24 weeks in New Hampshire - for now. Elections matter. #NHPolitics",NARAL
136,"SCOTUS didn't outlaw abortion, they ruled that it isn't the place of unelected judges to decide, and handed the power to decide back to the people.",March_for_life
137,any other prolifer have pro abortion families that don’t support your beliefs??,March_for_life
138,"The greatest destroyer of love and peace is abortion, which is war against the child. The mother doesn't learn to love, but kills to solve her own problems. Any country that accepts abortion is not teaching its people to love, but to use any violence to get what they want. 
MT",March_for_life
139,"A nice, quick and cute little reminder for my journalism friends as they write about today's decision that people besides women also seek access to abortion care♥️",NARAL
140,"really excited for states to decide how to handle abortion access, the states have never done anything bad before this will be great",NARAL
141,Fuck Brett Kavenaugh. #RoeVsWade #RoeVWade #FuckBrettKavenaugh,NARAL
142,"Since when has @PPFA actually planned parenthood? Abortion is NOT planning parenthood. It’s killing babies so people don’t have to be parents. Maybe that is their plan.
#abortion #RoeVWade #RoeVsWade",March_for_life
143,"Abortion is not a human right, nor is it a Constitutional right. The right to life is a human right.",March_for_life
144,"So many tears, so many tears....
From people for whom the ""right"" to kill babies was the most important ""right.""
So many people misunderstand Roe v. Wade, illiterate people unable to read &amp; comprehend Roe. That case never guaranteed access to an abortion after the first 12 weeks.",March_for_life
145,Anyone fighting for abortion has already been born!,March_for_life
146,"I saw someone mention that the ban on abortion is about privacy laws. I'd argue that this extends to all forms of laws about bodily autonomy. How does the government know I'm (fill in the blank)? Especially if it is something medical like an abortion, HRT, surgery, etc.",NARAL
147,"For a political party that owns all three chambers of congress, democrats and their lemmings sure are an angry and bitter bunch of humans that survived abortion. Simply amazing.",March_for_life
148,"Looking foward to collecting Liberal tears for years to come. 

The backlash is here. 

No more tolerating sexual perversion taught to my minor kids or streamed into my home. 
No more accepting murder as abortion or baby as fetus or sexual promiscuity as a right. 

Unacceptable.",March_for_life
149,"Nobody talks about the shame, guilt, and trauma millions of women suffer was lol ok in silence after an abortion. Nobody talks about the regret, but of not being able to stand the sound of a vacuum or hairdryer. I speak at women’s recovery centers and many had abortions in past!",March_for_life
150,"Many with those strong religious views towards abortion never attend a religious facility!Or maybe at Easter or Christmas-like trump! They do not follow Christian principles - they do not know what they are! If Trump is a Christian,then I guess I am something else. Different God",NARAL
151,"We are live today with our latest episode, featuring an amazing guest, Andrea Gallegos of the Tulsa Womens Clinic. She shares her experience of navigating ongoing abortion restrictions and how it impacts not only people seeking abortions, but also providers who are risking",NARAL
152,Abortion rights are not human rights,March_for_life
153,It’s the filibuster or abortion rights and a livable planet. How is this a hard choice?,NARAL
154,"#63millionbabies  who have been killed by ROE 
#RoeVWade 
#SupremeCourt",March_for_life
155,"Those declaring that they refuse to abide by the rule of law should realize that there is a consequence for your actions. You choose to murder the unborn, you should go to prison for murder. Plain and simple. Choose morality and life. #WeWontGoBack",March_for_life
156,"Abortion is healthcare. 
That’s the fucking tweet!!!
#CodifyRoeNow",NARAL
157,"6/24/22 will go down in history as one of the biggest milestones to make the procedure known as abortion unthinkable, I truly believe that. 
#lifewins",March_for_life
158,Abortion is a crime and should be illegal across the board.,March_for_life
159,"ABORTION
Its time for corporate America to choose.

If you value women employees please help fund to elect pro choice candidates &amp; consider what state you operate in currently &amp; open new businesses in the future.

50% of America just got their rights to their own body trampled.",NARAL
160,The Supreme Court just gutted the fundamental right to an abortion. They also destroyed our right to privacy. The rights of the LGBTQIA+ community depended upon the right to privacy. There is no moral equivalency between the two parties.  One party will protect your rights.,NARAL
161,Ladies who do not believe in funding raising off the Abortion Issue are not Democrats at all.,NARAL
162,"The worst judgment God punishes a people with is to let them debauch themselves unhindered until they can’t discern Life from Death and they preside over their own generational extinction.  
…abortion,homosexuality,substance abuse,endless war,suicide,familial dissolution.",March_for_life
163,Losing mutuals for celebrating the overturning of Roe v Wade: ☑️,March_for_life
164,Roe v. Wade overturned? Alright let’s go. Child support should start at conception. Tax deductions should start at conception. Government support should start at conception.,NARAL
165,Someone I know is claiming IVF is now banned because discarding embryos is considered abortion (which is true and wrong but not my point). I have not heard that to be the case. Can any of my peeps confirm/deny? Maybe @Prolife_Sam ?,March_for_life
166,Y’all wanna know why people are lying that women will die from ectopic pregnancies and miscarriages? Because 2020 showed them how successfully controlled our population is through fear mongering. #RoeVWade,March_for_life
167,Upside for ET: now we can map predictions of how certain states will vote on ballot initiatives over abortion,March_for_life
168,"Remember today to use inclusive language when talking about the overturn of Roe v Wade.

This does not only affect women, it affects all people who can carry a child as well as their partners.",NARAL
169,"Hey, fellow ProLifers-
People are terrified to become pregnant and have children. If you listen, this will tell you something.

Their concerns aren't made up- they are valid and speak to huge issues the world is facing far beyond “sin”.

#prolife #RoeVWade",March_for_life
170,"The unborn baby is IN her mother’s body, but is NOT her mother’s body. 
She has unique:
…DNA
…blood type
…organs
…fingers/toes
Life starts at conception. And therefore personhood.",March_for_life
171,Snowden is busy in his Moscow rathole retweeting pro abortion propaganda. Trump was right not to pardon him.,March_for_life
172,"The news from America is grim.  
Sending solidarity to activists who will be exhausted from responding to media requests, correcting misinformation and also updating digital media to advise girls, women, and pregnant people on how to safely access abortion services.",NARAL
173,"I’m crying for our country right now. The Supreme Court striking down Roe vs Wade is devastating, not only to women, but to EVERY LGBTQ+, ethnicity or race. This is a start on privacy restrictions that were built before. 
They lied under oath once. They can do it again.",NARAL
174,"If abortion providers were in grave danger from terrorists before, that threat just spiked.",NARAL
175,"Now would be a really great time for men to support (especially with 💵💵💵) anyone who needs an abortion, which is going to continue to be millions of people in this country every year. Of course, we could've just not voted for Trump.",NARAL
176,"Twenty years ago, the Supreme Court reaffirmed the right to choose in Planned Parenthood v. Casey. 

Today, Casey is no longer the law of the land. That must change. We must codify abortion rights into law.",NARAL
177,If only you fought for other causes as vehemently as you're trying to fight for murdering the unborn.,March_for_life
178,"I just donated $500 to NARAL.  I will keep donating to help women, because abortion is healthcare.  I care about women’s health, privacy, and autonomy.  I have never donated to NARAL before, but I did today.  Planned Parenthoo is next.  And if you laugh at me, I will donate more.",NARAL
179,"Hey @elonmusk, I’m a pro-life Catholic from Aus. Thankful you’re not shutting down people from voicing their views here. I’ve noticed Tesla will provide funding for those seeking abortion. What’s your view on it and are you open to dialoguing on the topic?",March_for_life
180,Pelosi wants people to murder their unborn child while claiming to be a Catholic so why are we shocked that she pushed a little girl?,March_for_life
181,"Let's be clear: #abortionrights is about #women 's #Health ! Politicizing women's bodies is criminal &amp; unconstitutional &amp; jeopardizes women's lives. Women have #valid reasons for #needing and #choosing abortion...for herself, for her health. #HerBodyHerChoice
#RoeVsWade",NARAL
182,"Warning to all businesses:
I will not do business with any company in a state that doesn't have legal abortion.
Nor will I do business with companies that are anti-abortion.",NARAL
183,"Today is the Feast of the Sacred Heart of Jesus. Couldn't be more fitting that Roe v Wade was overturned on this day! However, I wish we didn't have an anti-life monster living in the @WhiteHouse. Needless to say, I refused to watch his disgusting speech. #IStandForLife",March_for_life
184,"“You’re a man you can’t have a say in abortion”

Um you’re an entitled rich white liberal woman, you can’t tell me what I can or cannot say as a Korean you racist bigot

You’re just trying to control MY body now smh

Do better Brittany 💅 Check your privilege! #StopAsianHate",March_for_life
185,"Semi black pilled today:
&gt; went for hike
&gt; fat people
&gt; immodest and ugly people
&gt; people slathering on sunscreen
&gt; literal teenage girls discussing roe v wade 
&gt; moms of the same girls swearing to their kids

Thought we were back but there’s still work to do.",March_for_life
186,"Fetus is a dehumanizing medical term used to lessen the reality of what an abortion is. Viability begins at 24 weeks. If the baby is delivered instead of dissected, it has every chance of surviving on its own.",March_for_life
187,This shit is wild as fuck. They really fucking overturned Roe v. Wade,NARAL
188,Anyone that things interracial marriage is going to be overturned by the Supreme Court frankly and absolute idiot. Abortion and race are not the same thing and America is not the same country it was a hundred years ago. We need to stop the fearmongering,March_for_life
189,Stirlization laws followed Abortion laws in the 50's.  I remember that during a recession when a lot of people were on welfare some southern states required sterilization in order to get welfare. #KillTheFilibuster,NARAL
190,"Note to the GOP: Japanese Admiral Isoroku Yamamoto, who planned the attack on Pearl Harbor would reportedly write in his diary, “I fear all we have done is to awaken a sleeping giant and fill him with a terrible resolve.”  Roe v Wade",NARAL
191,"The lyric ""Hoes need abortion"" in Norf Norf by Vince Staple showcases an interesting depiction of pro-choice politics...",NARAL
192,"There will be a time for political takes and commentary—for discussing implications, conjectures, and what’s next.

But that time is not today. Today is simply a day for rejoicing and praising the Lord for what he has done. 

#RoevWade",March_for_life
193,There are tax implications for your work sending you to another state for an abortion on the work dime.,March_for_life
